season,player,sr,economy,bat_z,bowl_z,combined_z,balls_faced,balls_bowled,runs,runs_conceded,matches,bowl_per_match
2008,MF Maharoof,158.22784810126583,7.083333333333333,0.9214055526587307,0.9284604707031152,1.8498660233618458,79,216,125,255,8,27.0
2008,YK Pathan,179.01234567901236,8.272189349112425,1.701752460890819,-0.07811174430172009,1.623640716589099,243,169,435,233,15,10.958762886597938
2008,ST Jayasuriya,166.3430420711974,7.761904761904762,1.2260877563276817,0.3539324060505356,1.5800201623782173,309,126,514,163,14,9.23076923076923
2008,SR Watson,151.7684887459807,7.181818181818182,0.6788910976808264,0.8450760147487535,1.52396711242958,311,330,472,395,15,18.07079646017699
2008,SM Pollock,132.43243243243242,6.673913043478261,-0.04707457482280998,1.2751055501388056,1.2280309753159955,111,276,147,307,8,34.5
2008,SC Ganguly,113.68078175895766,6.6,-0.7510989358908964,1.337685723771444,0.5865867878805475,307,120,349,132,13,6.487179487179487
2008,PP Chawla,152.54237288135593,8.455516014234876,0.7079463149219928,-0.2333294703615288,0.474616844560464,59,281,90,396,7,36.951219512195124
2008,IK Pathan,112.93103448275863,6.811320754716981,-0.7792479429452578,1.158766159645278,0.3795182167000203,116,318,131,361,10,25.435897435897434
2008,JA Morkel,147.8527607361963,8.477815699658702,0.5318764183755814,-0.2522100105220312,0.27966640785355024,163,293,241,414,10,25.25862068965517
2008,Yuvraj Singh,162.5,9.444444444444445,1.0818020459203446,-1.070628409228375,0.011173636691969469,184,54,299,85,14,8.51578947368421
2008,DJ Bravo,132.8358208955224,8.385964912280702,-0.031929491868012354,-0.17444243457178152,-0.20637192643979388,134,171,178,239,7,25.75
2008,SK Warne,118.64406779661016,7.865384615384615,-0.5647540459234603,0.26631881454481193,-0.2984352313786484,59,312,70,409,7,36.0
2008,P Kumar,114.28571428571428,8.417910447761194,-0.7283869494607328,-0.20148985493331473,-0.9298768043940475,98,268,112,376,12,22.333333333333332
2008,SB Styris,91.05691056910568,7.444444444444445,-1.6005045021887434,0.6227174655371223,-0.9777870366516211,123,162,112,201,8,20.25
2008,JR Hopes,149.32432432432432,10.178571428571429,0.5871257739092994,-1.6921938592911072,-1.1050680853818078,148,168,221,285,11,18.94736842105263
2008,Mohammad Hafeez,77.10843373493977,6.983606557377049,-2.1241953314413218,1.0128964330377332,-1.1112988984035885,83,61,64,71,8,7.625
2008,Y Venugopal Rao,137.14285714285714,9.785714285714286,0.12977672242362986,-1.3595723481764563,-1.2297956257528264,210,84,288,137,10,7.909090909090909
2008,LR Shukla,133.60655737704917,10.216216216216216,-0.0029924522224141167,-1.7240666822234687,-1.7270591344458828,122,74,163,126,12,8.777777777777779
2008,JH Kallis,108.74316939890711,9.378640776699028,-0.9364799163452598,-1.0149142245678044,-1.9513941409130644,183,206,199,322,11,18.431578947368422
2009,Harbhajan Singh,158.49056603773585,6.181818181818182,2.1459898514645808,1.3405528515481506,3.4865427030127316,53,264,84,272,10,35.16923076923077
2009,SK Raina,140.9090909090909,6.108433734939759,1.1670458815819194,1.4113992218476514,2.578445103429571,308,166,434,169,14,6.904761904761905
2009,A Symonds,150.0,6.75,1.6732315440578323,0.7920221859829887,2.465253730040821,166,144,249,162,8,19.25
