batter,avg_sr,avg_boundary_rate,avg_dismissal_prob,total_balls,num_matchups,cluster
AK Markram,130.64117647058825,15.170588235294117,3.834705882352941,475,17,2
Abhishek Sharma,176.52666666666667,28.233333333333334,3.853333333333333,422,15,3
B Sai Sudharsan,147.096,21.851999999999997,3.2615999999999996,692,25,1
D Padikkal,129.31875,18.75,3.93125,425,16,2
DA Miller,140.4875,16.6875,3.2262500000000003,227,8,0
DA Warner,138.51538461538462,21.199999999999996,1.6646153846153846,365,13,0
F du Plessis,137.45172413793102,18.13448275862069,2.799310344827586,960,29,0
GJ Maxwell,155.75454545454545,20.536363636363635,5.026363636363636,281,11,1
H Klaasen,170.35714285714286,22.085714285714285,4.441428571428571,394,14,3
HH Pandya,120.65714285714286,14.985714285714286,3.779285714285714,459,14,2
Ishan Kishan,140.6047619047619,19.938095238095237,3.975238095238095,664,21,1
JC Buttler,146.4586206896552,21.20344827586207,2.969310344827586,953,29,0
KL Rahul,134.23055555555555,16.852777777777778,2.325833333333333,1318,36,0
MM Ali,139.125,20.5,5.24375,205,8,1
MR Marsh,141.975,21.8125,4.86625,200,8,1
N Pooran,144.92142857142855,19.61428571428571,4.612142857142857,416,14,1
N Rana,137.02,19.30666666666667,3.9046666666666665,450,15,1
P Simran Singh,139.11111111111111,20.733333333333334,4.722222222222222,276,9,1
Q de Kock,135.675,19.1875,4.22375,407,16,1
R Parag,126.93076923076924,16.146153846153847,6.093076923076922,342,13,2
RA Jadeja,146.4909090909091,16.827272727272728,2.2154545454545453,277,11,0
RA Tripathi,143.6,21.240000000000002,4.989,266,10,1
RD Gaikwad,134.09259259259258,17.751851851851853,3.7437037037037038,912,27,2
RG Sharma,129.5,19.257142857142856,4.838095238095238,629,21,2
RR Pant,137.37857142857143,18.685714285714287,3.861428571428571,402,14,1
S Dhawan,134.11666666666667,19.883333333333333,2.518333333333333,509,18,0
S Dube,133.45833333333334,17.108333333333334,3.6725,358,12,2
SA Yadav,151.61111111111111,20.81851851851852,3.783333333333333,860,27,1
SS Iyer,133.025,15.924999999999999,4.189166666666666,353,12,2
SV Samson,144.46296296296296,21.31851851851852,2.8233333333333337,793,27,0
Shubman Gill,139.98611111111111,17.858333333333334,2.898888888888889,1317,36,0
Tilak Varma,147.76666666666668,18.773333333333333,2.9513333333333334,448,15,0
V Kohli,139.28205128205127,17.725641025641025,2.648461538461538,1369,39,0
VR Iyer,119.55384615384615,14.123076923076923,3.7646153846153845,343,13,2
WP Saha,117.0111111111111,17.977777777777778,5.713333333333334,249,9,2
YBK Jaiswal,158.532,26.028000000000002,3.9596,735,25,3
