batter,bowler,balls_faced,runs_scored,boundaries,dismissals,strike_rate,boundary_rate,dismissal_prob
A Badoni,Mohammed Siraj,21,21,3,0,100.0,14.3,0.0
A Badoni,Mukesh Kumar,24,43,8,1,179.2,33.3,4.17
A Badoni,Rashid Khan,30,31,2,1,103.3,6.7,3.33
A Badoni,SP Narine,48,42,4,3,87.5,8.3,6.25
A Badoni,T Natarajan,20,38,7,1,190.0,35.0,5.0
AD Russell,B Kumar,24,62,11,0,258.3,45.8,0.0
AD Russell,RA Jadeja,20,28,4,0,140.0,20.0,0.0
AD Russell,RD Chahar,24,21,1,0,87.5,4.2,0.0
AD Russell,T Natarajan,23,41,5,0,178.3,21.7,0.0
AK Markram,AR Patel,25,35,4,2,140.0,16.0,8.0
AK Markram,Arshdeep Singh,27,37,5,2,137.0,18.5,7.41
AK Markram,CV Varun,54,84,11,2,155.6,20.4,3.7
AK Markram,DL Chahar,20,24,3,0,120.0,15.0,0.0
AK Markram,Kuldeep Yadav,21,32,4,1,152.4,19.0,4.76
AK Markram,LH Ferguson,24,41,5,1,170.8,20.8,4.17
AK Markram,M Prasidh Krishna,20,38,7,2,190.0,35.0,10.0
AK Markram,M Theekshana,31,43,6,1,138.7,19.4,3.23
AK Markram,MA Starc,20,26,3,0,130.0,15.0,0.0
AK Markram,Mohammed Siraj,38,47,6,0,123.7,15.8,0.0
AK Markram,RA Jadeja,24,27,1,0,112.5,4.2,0.0
AK Markram,RD Chahar,24,24,2,1,100.0,8.3,4.17
AK Markram,Rashid Khan,25,27,3,0,108.0,12.0,0.0
AK Markram,SP Narine,57,52,2,1,91.2,3.5,1.75
AK Markram,VG Arora,25,34,5,2,136.0,20.0,8.0
AK Markram,YS Chahal,20,25,2,1,125.0,10.0,5.0
AK Markram,Yash Dayal,20,18,1,1,90.0,5.0,5.0
AM Rahane,Arshdeep Singh,23,31,5,1,134.8,21.7,4.35
AM Rahane,B Kumar,21,15,2,1,71.4,9.5,4.76
AM Rahane,JD Unadkat,20,19,2,4,95.0,10.0,20.0
AM Rahane,R Ashwin,24,23,1,2,95.8,4.2,8.33
AR Patel,Avesh Khan,21,25,4,0,119.0,19.0,0.0
AR Patel,CV Varun,24,12,1,1,50.0,4.2,4.17
AR Patel,JJ Bumrah,21,32,4,1,152.4,19.0,4.76
AR Patel,Noor Ahmad,22,36,5,2,163.6,22.7,9.09
AR Patel,Rashid Khan,54,82,10,1,151.9,18.5,1.85
AR Patel,SP Narine,26,32,4,2,123.1,15.4,7.69
AT Rayudu,Avesh Khan,21,30,5,0,142.9,23.8,0.0
AT Rayudu,K Rabada,20,14,2,1,70.0,10.0,5.0
AT Rayudu,Rashid Khan,22,32,3,1,145.5,13.6,4.55
Abdul Samad,CV Varun,23,30,3,1,130.4,13.0,4.35
