season,bowler,pp_balls,pp_runs,pp_wickets,pp_economy,death_balls,death_runs,death_wickets,death_economy,total_balls,total_runs,total_wickets,total_economy
2008,A Kumble,24.0,21.0,0.0,5.25,26.0,56.0,1.0,12.9231,230,314,7.0,8.1913
2008,A Mishra,12.0,21.0,1.0,10.5,18.0,20.0,4.0,6.6667,120,140,11.0,7.0
2008,A Nehra,168.0,209.0,5.0,7.4643,60.0,98.0,4.0,9.8,270,357,12.0,7.9333
2008,A Nel,6.0,12.0,1.0,12.0,6.0,8.0,0.0,8.0,18,31,1.0,10.3333
2008,A Symonds,0.0,0.0,0.0,0.0,5.0,19.0,0.0,22.8,42,106,0.0,15.1429
2008,AA Noffke,6.0,23.0,0.0,23.0,12.0,11.0,1.0,5.5,24,41,1.0,10.25
2008,AB Agarkar,66.0,104.0,2.0,9.4545,13.0,11.0,2.0,5.0769,157,211,8.0,8.0637
2008,AB Dinda,145.0,152.0,7.0,6.2897,18.0,14.0,0.0,4.6667,235,266,9.0,6.7915
2008,AD Mascarenhas,12.0,20.0,0.0,10.0,0.0,0.0,0.0,0.0,24,31,2.0,7.75
2008,AM Nayar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42,69,1.0,9.8571
2008,Abdur Razzak,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,29,0.0,13.3846
2008,B Akhil,0.0,0.0,0.0,0.0,20.0,39.0,1.0,11.7,104,138,2.0,7.9615
2008,B Geeves,24.0,50.0,0.0,12.5,6.0,10.0,0.0,10.0,48,91,1.0,11.375
2008,B Lee,63.0,67.0,4.0,6.381,24.0,39.0,0.0,9.75,99,118,4.0,7.1515
2008,BAW Mendis,12.0,13.0,0.0,6.5,6.0,7.0,0.0,7.0,24,24,1.0,6.0
2008,CK Kapugedera,0.0,0.0,0.0,0.0,6.0,15.0,0.0,15.0,17,49,0.0,17.2941
2008,CL White,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,24,0.0,24.0
2008,CRD Fernando,24.0,20.0,5.0,5.0,55.0,95.0,3.0,10.3636,121,164,10.0,8.1322
2008,D Kalyankrishna,0.0,0.0,0.0,0.0,6.0,17.0,0.0,17.0,48,88,2.0,11.0
2008,D Salunkhe,0.0,0.0,0.0,0.0,6.0,7.0,0.0,7.0,48,80,1.0,10.0
2008,DB Ravi Teja,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,19,1.0,9.5
2008,DJ Bravo,36.0,29.0,3.0,4.8333,50.0,86.0,5.0,10.32,171,239,11.0,8.386
2008,DJ Hussey,0.0,0.0,0.0,0.0,12.0,29.0,0.0,14.5,78,134,2.0,10.3077
2008,DJ Thornely,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42,40,3.0,5.7143
2008,DL Vettori,0.0,0.0,0.0,0.0,18.0,19.0,1.0,6.3333,48,54,2.0,6.75
2008,DNT Zoysa,36.0,45.0,0.0,7.5,20.0,34.0,1.0,10.2,68,100,2.0,8.8235
2008,DP Vijaykumar,102.0,126.0,3.0,7.4118,28.0,55.0,1.0,11.7857,154,205,4.0,7.987
2008,DR Smith,0.0,0.0,0.0,0.0,6.0,12.0,0.0,12.0,66,83,5.0,7.5455
2008,DS Kulkarni,42.0,68.0,2.0,9.7143,52.0,85.0,5.0,9.8077,181,242,11.0,8.0221
2008,DW Steyn,133.0,154.0,1.0,6.9474,49.0,49.0,5.0,6.0,230,265,10.0,6.913
2008,GD McGrath,222.0,218.0,8.0,5.8919,79.0,120.0,3.0,9.1139,325,366,12.0,6.7569
2008,Gagandeep Singh,6.0,7.0,0.0,7.0,24.0,64.0,1.0,16.0,84,142,3.0,10.1429
2008,Harbhajan Singh,0.0,0.0,0.0,0.0,18.0,26.0,4.0,8.6667,60,84,5.0,8.4
2008,I Sharma,161.0,201.0,7.0,7.4907,78.0,134.0,0.0,10.3077,257,348,7.0,8.1245
2008,IK Pathan,162.0,170.0,6.0,6.2963,78.0,95.0,3.0,7.3077,318,361,15.0,6.8113
