season,bowler,wicket_category,count
2008,A Kumble,bowled_lbw,1
2008,A Kumble,caught,6
2008,A Mishra,bowled_lbw,3
2008,A Mishra,caught,8
2008,A Nehra,bowled_lbw,3
2008,A Nehra,caught,9
2008,A Nel,caught,1
2008,AA Noffke,caught,1
2008,AB Agarkar,caught,8
2008,AB Dinda,bowled_lbw,3
2008,AB Dinda,caught,6
2008,AD Mascarenhas,caught,2
2008,AM Nayar,caught,1
2008,B Akhil,caught,2
2008,B Geeves,caught,1
2008,B Lee,caught,4
2008,BAW Mendis,caught,1
2008,CRD Fernando,bowled_lbw,1
2008,CRD Fernando,caught,9
2008,D Kalyankrishna,caught,2
2008,D Salunkhe,caught,1
2008,DB Ravi Teja,caught,1
2008,DJ Bravo,bowled_lbw,4
2008,DJ Bravo,caught,7
2008,DJ Hussey,caught,2
2008,DJ Thornely,caught,3
2008,DL Vettori,bowled_lbw,2
2008,DNT Zoysa,caught,2
2008,DP Vijaykumar,caught,4
2008,DR Smith,bowled_lbw,3
2008,DR Smith,caught,2
2008,DS Kulkarni,bowled_lbw,2
2008,DS Kulkarni,caught,9
2008,DW Steyn,bowled_lbw,4
2008,DW Steyn,caught,6
2008,GD McGrath,bowled_lbw,2
2008,GD McGrath,caught,10
2008,Gagandeep Singh,bowled_lbw,1
2008,Gagandeep Singh,caught,2
2008,Harbhajan Singh,bowled_lbw,1
2008,Harbhajan Singh,caught,4
2008,I Sharma,bowled_lbw,3
2008,I Sharma,caught,4
2008,IK Pathan,bowled_lbw,11
2008,IK Pathan,caught,4
2008,JA Morkel,bowled_lbw,6
2008,JA Morkel,caught,11
2008,JDP Oram,caught,3
2008,JH Kallis,bowled_lbw,1
2008,JH Kallis,caught,3
2008,JR Hopes,bowled_lbw,1
2008,JR Hopes,caught,6
2008,Joginder Sharma,bowled_lbw,2
2008,Joginder Sharma,caught,6
2008,L Balaji,bowled_lbw,2
2008,L Balaji,caught,9
2008,LR Shukla,bowled_lbw,3
2008,LR Shukla,caught,3
2008,M Kartik,caught,3
2008,M Muralitharan,bowled_lbw,3
2008,M Muralitharan,caught,8
2008,M Ntini,bowled_lbw,4
2008,M Ntini,caught,3
2008,MA Khote,caught,2
2008,MF Maharoof,bowled_lbw,5
2008,MF Maharoof,caught,10
2008,MM Patel,bowled_lbw,3
2008,MM Patel,caught,11
2008,MS Gony,bowled_lbw,6
2008,MS Gony,caught,11
2008,Mohammad Asif,bowled_lbw,2
2008,Mohammad Asif,caught,6
2008,Mohammad Hafeez,bowled_lbw,1
2008,Mohammad Hafeez,caught,1
2008,P Amarnath,bowled_lbw,1
2008,P Amarnath,caught,6
2008,P Kumar,bowled_lbw,1
2008,P Kumar,caught,10
2008,PJ Sangwan,caught,5
2008,PM Sarvesh Kumar,caught,1
2008,PP Chawla,bowled_lbw,7
2008,PP Chawla,caught,10
2008,PP Ojha,bowled_lbw,2
2008,PP Ojha,caught,8
2008,R Bhatia,bowled_lbw,3
2008,R Bhatia,caught,3
2008,R Vinay Kumar,caught,5
2008,RG Sharma,caught,1
2008,RP Singh,bowled_lbw,6
2008,RP Singh,caught,9
2008,RR Powar,bowled_lbw,2
2008,RR Powar,caught,1
2008,RR Raje,bowled_lbw,1
2008,RR Raje,caught,4
2008,S Sreesanth,bowled_lbw,6
2008,S Sreesanth,caught,11
2008,S Sreesanth,other,2
2008,S Vidyut,caught,1
2008,SB Bangar,bowled_lbw,1
2008,SB Bangar,caught,3
2008,SB Joshi,caught,1
2008,SB Styris,caught,3
2008,SC Ganguly,bowled_lbw,3
2008,SC Ganguly,caught,3
2008,SD Chitnis,caught,2
2008,SK Raina,caught,1
2008,SK Trivedi,bowled_lbw,5
2008,SK Trivedi,caught,8
2008,SK Warne,bowled_lbw,4
2008,SK Warne,caught,15
2008,SM Pollock,bowled_lbw,1
2008,SM Pollock,caught,10
2008,SR Watson,bowled_lbw,1
2008,SR Watson,caught,16
2008,ST Jayasuriya,caught,4
2008,Shahid Afridi,bowled_lbw,3
2008,Shahid Afridi,caught,6
2008,Shoaib Akhtar,bowled_lbw,1
2008,Shoaib Akhtar,caught,4
2008,Shoaib Malik,caught,2
2008,Sohail Tanvir,bowled_lbw,11
2008,Sohail Tanvir,caught,11
2008,TM Dilshan,bowled_lbw,1
2008,Umar Gul,bowled_lbw,7
2008,Umar Gul,caught,5
2008,V Kohli,bowled_lbw,1
2008,V Kohli,caught,1
2008,V Sehwag,bowled_lbw,2
2008,V Sehwag,caught,1
2008,VRV Singh,bowled_lbw,4
