batter,phase,balls_faced,runs_scored,boundaries,sixes,dots,strike_rate,boundary_pct,dot_pct
A Badoni,death,326,538,41,25,78,165.0,20.2,23.9
A Badoni,middle,408,515,41,16,125,126.2,14.0,30.6
A Badoni,powerplay,83,82,9,3,46,98.8,14.5,55.4
A Manohar,death,94,148,9,10,29,157.4,20.2,30.9
A Manohar,middle,123,132,12,4,49,107.3,13.0,39.8
A Mhatre,middle,85,157,9,12,20,184.7,24.7,23.5
A Mhatre,powerplay,145,275,42,11,57,189.7,36.6,39.3
A Raghuvanshi,death,54,78,7,3,14,144.4,18.5,25.9
A Raghuvanshi,middle,248,350,33,10,61,141.1,17.3,24.6
A Raghuvanshi,powerplay,166,244,30,10,68,147.0,24.1,41.0
AB de Villiers,death,93,206,17,14,17,221.5,33.3,18.3
AB de Villiers,middle,105,101,6,2,42,96.2,7.6,40.0
AD Russell,death,328,591,45,49,125,180.2,28.7,38.1
AD Russell,middle,358,529,34,44,159,147.8,21.8,44.4
AK Markram,death,152,278,20,18,28,182.9,25.0,18.4
AK Markram,middle,674,869,53,31,169,128.9,12.5,25.1
AK Markram,powerplay,374,486,57,18,162,129.9,20.1,43.3
AM Rahane,middle,418,529,29,19,103,126.6,11.5,24.6
AM Rahane,powerplay,477,698,75,35,191,146.3,23.1,40.0
AR Patel,death,289,464,27,28,65,160.6,19.0,22.5
AR Patel,middle,400,509,45,22,150,127.2,16.8,37.5
AR Patel,powerplay,57,61,8,1,28,107.0,15.8,49.1
AT Rayudu,death,139,249,18,18,40,179.1,25.9,28.8
AT Rayudu,middle,315,401,29,21,111,127.3,15.9,35.2
AT Rayudu,powerplay,53,39,4,2,36,73.6,11.3,67.9
Abdul Samad,death,254,430,26,32,71,169.3,22.8,28.0
Abdul Samad,middle,234,272,18,13,89,116.2,13.2,38.0
Abhishek Sharma,death,62,92,7,5,19,148.4,19.4,30.6
Abhishek Sharma,middle,400,710,45,50,103,177.5,23.8,25.8
Abhishek Sharma,powerplay,733,1251,148,66,283,170.7,29.2,38.6
Abishek Porel,middle,223,312,22,12,55,139.9,15.2,24.7
Abishek Porel,powerplay,215,317,39,12,87,147.4,23.7,40.5
Aman Hakim Khan,middle,58,52,2,3,28,89.7,8.6,48.3
Aniket Verma,death,77,143,8,12,20,185.7,26.0,26.0
Aniket Verma,middle,95,149,7,13,34,156.8,21.1,35.8
Anmolpreet Singh,powerplay,91,116,17,3,44,127.5,22.0,48.4
Anuj Rawat,death,81,142,11,9,19,175.3,24.7,23.5
Anuj Rawat,middle,98,93,6,2,37,94.9,8.2,37.8
Anuj Rawat,powerplay,88,83,9,3,49,94.3,13.6,55.7
Arshad Khan,death,58,85,4,6,19,146.6,17.2,32.8
Ashutosh Sharma,death,156,286,21,19,36,183.3,25.6,23.1
Ashutosh Sharma,middle,104,140,6,11,38,134.6,16.3,36.5
Atharva Taide,middle,74,103,10,2,18,139.2,16.2,24.3
Atharva Taide,powerplay,103,157,20,6,40,152.4,25.2,38.8
Azmatullah Omarzai,middle,56,70,4,4,20,125.0,14.3,35.7
B Kumar,death,125,118,11,0,46,94.4,8.8,36.8
B Sai Sudharsan,death,120,246,20,16,23,205.0,30.0,19.2
B Sai Sudharsan,middle,696,1031,85,34,144,148.1,17.1,20.7
B Sai Sudharsan,powerplay,610,838,110,20,229,137.4,21.3,37.5
C Connolly,middle,91,178,13,13,20,195.6,28.6,22.0
C Connolly,powerplay,58,69,8,4,31,119.0,20.7,53.4
C Green,death,126,233,21,11,20,184.9,25.4,15.9
C Green,middle,305,426,24,24,89,139.7,15.7,29.2
C Green,powerplay,157,244,33,7,55,155.4,25.5,35.0
CH Gayle,middle,85,100,8,5,37,117.6,15.3,43.5
CH Gayle,powerplay,56,68,11,1,26,121.4,21.4,46.4
D Brevis,middle,248,369,19,28,89,148.8,19.0,35.9
D Brevis,powerplay,74,85,11,3,39,114.9,18.9,52.7
D Ferreira,death,50,74,4,7,24,148.0,22.0,48.0
D Ferreira,middle,68,103,14,2,20,151.5,23.5,29.4
D Padikkal,death,86,127,18,2,27,147.7,23.3,31.4
D Padikkal,middle,576,770,61,35,180,133.7,16.7,31.2
D Padikkal,powerplay,515,678,84,27,237,131.7,21.6,46.0
DA Miller,death,423,694,54,36,98,164.1,21.3,23.2
DA Miller,middle,494,615,47,21,144,124.5,13.8,29.1
DA Miller,powerplay,54,41,5,0,31,75.9,9.3,57.4
DA Warner,death,61,75,9,1,21,123.0,16.4,34.4
DA Warner,middle,396,492,40,15,118,124.2,13.9,29.8
DA Warner,powerplay,528,744,104,25,243,140.9,24.4,46.0
DJ Hooda,death,99,138,11,7,31,139.4,18.2,31.3
DJ Hooda,middle,437,571,35,23,120,130.7,13.3,27.5
DJ Hooda,powerplay,153,162,20,3,74,105.9,15.0,48.4
DJ Mitchell,middle,151,208,14,8,36,137.7,14.6,23.8
DJ Mitchell,powerplay,78,97,11,2,30,124.4,16.7,38.5
DP Conway,death,63,96,11,2,14,152.4,20.6,22.2
DP Conway,middle,342,521,45,21,78,152.3,19.3,22.8
DP Conway,powerplay,368,463,61,11,148,125.8,19.6,40.2
Dhruv Jurel,death,258,464,32,28,55,179.8,23.3,21.3
Dhruv Jurel,middle,297,389,35,16,104,131.0,17.2,35.0
E Lewis,powerplay,91,145,18,7,38,159.3,27.5,41.8
EJG Morgan,middle,79,72,3,3,33,91.1,7.6,41.8
F du Plessis,death,134,237,20,12,32,176.9,23.9,23.9
F du Plessis,middle,673,935,56,38,155,138.9,14.0,23.0
F du Plessis,powerplay,927,1299,159,51,374,140.1,22.7,40.3
GD Phillips,middle,51,52,1,3,21,102.0,7.8,41.2
GJ Maxwell,death,173,325,34,17,46,187.9,29.5,26.6
GJ Maxwell,middle,548,789,57,45,178,144.0,18.6,32.5
GJ Maxwell,powerplay,123,200,28,8,52,162.6,29.3,42.3
H Klaasen,death,322,636,44,43,66,197.5,27.0,20.5
H Klaasen,middle,668,1047,66,55,145,156.7,18.1,21.7
H Klaasen,powerplay,58,80,8,4,26,137.9,20.7,44.8
HC Brook,powerplay,84,96,14,2,44,114.3,19.0,52.4
HH Pandya,death,337,520,40,26,91,154.3,19.6,27.0
HH Pandya,middle,615,826,69,32,195,134.3,16.4,31.7
HH Pandya,powerplay,141,151,24,0,71,107.1,17.0,50.4
HV Patel,death,99,116,10,4,36,117.2,14.1,36.4
Harpreet Brar,death,137,184,13,8,40,134.3,15.3,29.2
Harpreet Brar,middle,54,40,4,1,31,74.1,9.3,57.4
Ishan Kishan,death,98,179,17,10,26,182.7,27.6,26.5
Ishan Kishan,middle,603,853,71,34,162,141.5,17.4,26.9
Ishan Kishan,powerplay,749,1067,135,42,323,142.5,23.6,43.1
J Fraser-McGurk,powerplay,144,298,35,22,60,206.9,39.6,41.7
J Overton,death,63,104,12,4,17,165.1,25.4,27.0
JC Buttler,death,241,489,40,32,54,202.9,29.9,22.4
JC Buttler,middle,783,1167,109,44,210,149.0,19.5,26.8
JC Buttler,powerplay,766,1020,123,43,357,133.2,21.7,46.6
JD Unadkat,death,87,128,9,6,27,147.1,17.2,31.0
JG Bethell,powerplay,50,88,11,5,20,176.0,32.0,40.0
JJ Roy,middle,111,166,15,7,29,149.5,19.8,26.1
JJ Roy,powerplay,198,269,42,6,89,135.9,24.2,44.9
JM Bairstow,middle,209,262,23,11,77,125.4,16.3,36.8
