player,display_name,bat_balls,bowl_balls,role
Abhishek Sharma,Abhishek Sharma,1195,281,allrounder
AK Markram,Aiden Markram,1200,222,allrounder
AD Russell,Andre Russell,690,666,allrounder
Arshad Khan,Arshad Khan,88,297,bowler
AR Patel,Axar Patel,746,1440,allrounder
Azmatullah Omarzai,Azmatullah Omarzai,74,288,allrounder
B Kumar,Bhuvneshwar Kumar,166,1715,bowler
C Green,Cameron Green,588,489,allrounder
RD Chahar,Deepak Chahar,107,1053,bowler
DJ Hooda,Deepak Hooda,689,150,batter
GJ Maxwell,Glenn Maxwell,844,476,allrounder
HH Pandya,Hardik Pandya,1093,856,allrounder
Harpreet Brar,Harpreet Brar,191,782,allrounder
HV Patel,Harshal Patel,140,1562,allrounder
J Overton,Jamie Overton,93,150,allrounder
JO Holder,Jason Holder,137,658,allrounder
JD Unadkat,Jaydev Unadkat,102,707,bowler
K Rabada,Kagiso Rabada,103,1293,bowler
KA Pollard,Kieron Pollard,299,164,allrounder
KH Pandya,Krunal Pandya,652,1317,allrounder
Kuldeep Yadav,Kuldeep Yadav,178,1308,bowler
Lalit Yadav,Lalit Yadav,290,289,allrounder
LS Livingstone,Liam Livingstone,639,306,allrounder
MK Lomror,Mahipal Lomror,295,72,allrounder
M Jansen,Marco Jansen,140,907,allrounder
MP Stoinis,Marcus Stoinis,847,357,allrounder
MR Marsh,Mitchell Marsh,866,242,allrounder
MJ Santner,Mitchell Santner,100,561,allrounder
MM Ali,Moeen Ali,640,596,allrounder
Mohammed Shami,Mohammed Shami,54,1443,bowler
Mohammed Siraj,Mohammed Siraj,76,1763,bowler
Naman Dhir,Naman Dhir,321,52,allrounder
Nithish Kumar Reddy,Nithish Kumar Reddy,468,255,allrounder
N Rana,Nitish Rana,1135,113,allrounder
PJ Cummins,Pat Cummins,233,969,allrounder
R Tewatia,Rahul Tewatia,581,271,allrounder
Ramandeep Singh,Ramandeep Singh,205,56,allrounder
Rashid Khan,Rashid Khan,295,1887,allrounder
R Ashwin,Ravichandran Ashwin,332,1482,allrounder
RA Jadeja,Ravindra Jadeja,899,1462,allrounder
R Parag,Riyan Parag,995,223,allrounder
R Shepherd,Romario Shepherd,112,283,allrounder
SM Curran,Sam Curran,535,807,allrounder
Shahbaz Ahmed,Shahbaz Ahmed,463,560,allrounder
SN Thakur,Shardul Thakur,210,1262,allrounder
Shashank Singh,Shashank Singh,526,60,allrounder
S Dube,Shivam Dube,1263,78,allrounder
Sikandar Raza,Sikandar Raza,136,85,allrounder
SP Narine,Sunil Narine,558,1726,allrounder
TA Boult,Trent Boult,68,1629,bowler
UT Yadav,Umesh Yadav,73,533,bowler
VR Iyer,Venkatesh Iyer,1084,82,allrounder
V Shankar,Vijay Shankar,438,76,allrounder
PWH de Silva,Wanindu Hasaranga,88,798,bowler
Washington Sundar,Washington Sundar,363,497,allrounder
WG Jacks,Will Jacks,303,139,allrounder
AB de Villiers,AB de Villiers,211,0,batter
