season,team,death_avg_runs,mid_avg_runs,pp_avg_runs,matches,wins,losses,win_rate,toss_chose_bat,toss_chose_field,depth_avg_runs
2008,Chennai Super Kings,47.4286,70.875,45.125,16,9,7,0.5625,4.0,1.0,19.6
2008,Deccan Chargers,49.9231,67.7143,45.1429,14,2,12,0.1429,4.0,5.0,18.4
2008,Delhi Capitals,34.3333,71.0,50.8571,14,7,7,0.5,2.0,4.0,22.8889
2008,Kolkata Knight Riders,45.0,63.3077,41.0769,13,6,7,0.4615,6.0,0.0,29.6364
2008,Mumbai Indians,41.3333,69.0769,49.0,14,7,7,0.5,1.0,7.0,26.8889
2008,Punjab Kings,43.0,72.5333,51.6,15,10,5,0.6667,4.0,4.0,28.0
2008,Rajasthan Royals,37.2,80.6875,47.0,16,13,3,0.8125,3.0,8.0,22.1111
2008,Royal Challengers Bengaluru,38.5714,64.0714,39.0,14,4,10,0.2857,2.0,3.0,20.5385
2009,Chennai Super Kings,42.0,66.3571,51.0,14,8,6,0.5714,6.0,1.0,13.375
2009,Deccan Chargers,41.5,63.75,50.4375,16,9,7,0.5625,5.0,5.0,13.6
2009,Delhi Capitals,42.5714,59.1429,47.1333,15,10,5,0.6667,4.0,5.0,15.4286
2009,Kolkata Knight Riders,47.5,52.0769,39.2308,12,3,9,0.25,4.0,2.0,22.1429
2009,Mumbai Indians,44.9231,62.3077,38.6923,13,5,8,0.3846,6.0,0.0,20.3333
2009,Punjab Kings,39.1538,59.2143,42.1429,14,7,7,0.5,3.0,3.0,18.4444
2009,Rajasthan Royals,34.75,62.0,35.7692,12,5,7,0.4167,2.0,2.0,32.3636
2009,Royal Challengers Bengaluru,40.25,62.4375,39.8125,16,9,7,0.5625,5.0,3.0,23.0
2010,Chennai Super Kings,47.2667,70.75,47.125,15,9,6,0.6,7.0,2.0,24.4444
2010,Deccan Chargers,35.5625,68.125,44.6875,16,8,8,0.5,5.0,4.0,20.75
2010,Delhi Capitals,39.0714,63.6429,51.2143,14,7,7,0.5,5.0,3.0,21.2
2010,Kolkata Knight Riders,42.0,66.3571,44.7857,14,7,7,0.5,6.0,1.0,31.0
2010,Mumbai Indians,54.875,66.125,50.125,16,11,5,0.6875,7.0,2.0,29.75
2010,Punjab Kings,46.7857,67.7857,48.1429,13,3,10,0.2308,3.0,2.0,27.75
2010,Rajasthan Royals,38.3077,72.4286,47.6429,14,6,8,0.4286,5.0,1.0,22.5455
2010,Royal Challengers Bengaluru,44.5,65.75,45.375,16,8,8,0.5,1.0,5.0,18.8889
2011,Chennai Super Kings,49.1875,72.4375,38.375,16,11,5,0.6875,7.0,2.0,8.0
2011,Deccan Chargers,43.9286,65.2143,43.7143,14,6,8,0.4286,3.0,3.0,21.6
2011,Delhi Capitals,46.3077,64.5714,41.5,13,4,9,0.3077,3.0,5.0,23.5
2011,Kochi Tuskers Kerala,35.4545,59.3571,48.5714,14,6,8,0.4286,3.0,5.0,18.1
2011,Kolkata Knight Riders,39.5833,61.5333,41.6667,15,8,7,0.5333,1.0,6.0,20.0
2011,Mumbai Indians,44.4667,59.9375,41.375,16,10,6,0.625,1.0,5.0,22.375
2011,Pune Warriors,36.3333,61.2308,41.7692,13,4,9,0.3077,2.0,3.0,16.9091
2011,Punjab Kings,37.4286,76.5714,44.8571,14,7,7,0.5,3.0,7.0,23.6
2011,Rajasthan Royals,31.0909,64.0769,39.3846,13,6,7,0.4615,1.0,6.0,16.6667
2011,Royal Challengers Bengaluru,41.0714,67.9375,50.4375,16,10,6,0.625,0.0,6.0,23.5714
2012,Chennai Super Kings,46.3333,66.4444,44.5,18,10,8,0.5556,4.0,3.0,19.7692
2012,Deccan Chargers,47.9333,62.8,43.4,15,4,11,0.2667,7.0,2.0,14.4444
